,Dish,Meta,URL,Pic,Ingredients
21,PESTO VEGGIE TRAYBAKE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/pesto-veggie-traybake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd7b12d33d70f3babf1c520/1574432093610/9K8A9592.jpg,"150g of Mozzarella 
400g of Cherry Vine Tomatoes
½ Tsp of Chilli Flakes
½ Tbsp of Fennel Seeds
1 Tbsp of Oregano
1 Aubergine 
1 Courgette
1 Red Onion
3 Peppers (Red, Orange, Yellow)
1 Loaf of Ciabatta 
Bunch of Parsley
30g of Pine Nuts
4 Cloves of Garlic
70g of Parmesan
Bunch of Basil
Salt
Pepper
Olive Oil"
22,MEXICAN INSPIRED EGGS,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/mexican-inspired-eggs,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd3bee062cbaa29569b86f6/1574268238647/Screen+Shot+2019-11-19+at+10.09.42.png,"1 Onion
2 Peppers (Red and Yellow)
1 Chorizo Ring
3 Tsp of Very Lazy Chopped Red Chillies
400g of Black Beans
4 Eggs
4 Soft Tortillas
2 Avocados
4 Tbsp of Feta Cheese
Bunch of Coriander
1 Lime
Salt
Pepper
Olive Oil"
23,SPICY LENTIL STEW,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/spicy-lentil-stew,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd2695539d8ba0c23bf4d85/1574087401234/9K8A9504.jpg,"1 Cauliflower
1 Tbsp of Turmeric
2 Tbsp of Paprika
2 Tbsp of Cumin
1 Tbsp of Chilli Flakes
Bunch of Coriander
3 Cloves of Garlic
Half a Lemon
250g of Coconut Yoghurt
1 Onion
1 Carrot
2 Tbsp of Tomato Purée
600g of Lentils (In Water)
1 Litre of Vegetable Stock
8 Cherry Tomatoes
100g of Spinach
Salt
Pepper
Olive Oil"
24,ULTIMATE CHRISTMAS DINNER,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/ultimate-christmas-dinner,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dd2893d39d8ba0c23c1a284/1574179405110/Screen+Shot+2019-11-18+at+11.59.56.png,"5.5kg Turkey 
8 Cumberland Sausages 
12 Chipolata Sausages
24 Smoked Streaky Bacon Rashers 
1kg Brussel Sprouts 
1kg Potatoes 
5 Cloves of Garlic
Carrots - 2 Per Person
Parsnips - 2 Per Person 
3 Onions 
110g Breadcrumbs 
1 Apple 
2 Knobs of Butter 
4 Tbsps of Goose Fat 
4 Tbsp of Plain Flour 
4 Tbsp of Cranberry Sauce 
2 Tbsp of Honey
250ml Red Wine 
Bunch of Rosemary 
Bunch of Sage 
Bunch of Tarragon 
Bunch of Parsley 
15 Cloves
1 Bay Leaf 
2 Tbsp of Peppercorns 
2 Pints Whole Milk 
Salt
Pepper
Olive Oil"
25,MOB'S CHICKEN AND CHORIZO PIE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/chicken-chorizo-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcd7badb35742089d8d80c0/1573843393255/9K8A6999+%281%29.jpg,"2 Sheets of Puff Pastry
1 Chorizo Ring
8 Skinless, Boneless Chicken Thighs
6 Tbsp of Plain Flour
1 Egg
2 Peppers (Red and Yellow)
1 Onion
250ml of Cider
500ml of Chicken Stock
Bunch of Parsley
Salt
Pepper"
26,MOB’S CANNELLINI PASTA,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/cannellini-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dcad6142bd87e424081eed2/1573843445415/FINAL.png,"125g Smoked Bacon
1 Onion
2 Celery Stalks
4 Carrots
2 Cloves of Garlic
175g of Parmesan
2 Bay Leaves
Bunch of Rosemary
1 Tsp of Chilli Flakes
800g of Cannellini Beans
1.4l of Chicken Stock
500g of Passata
500g of Macaroni
Olive Oil"
27,PUMPKIN RISOTTO,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/pumpkin-risotto,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc92d06913dc6206ee77f28/1573490705509/9K8A9178.jpg,"1 Medium Pumpkin
25g of Butter
2 Cloves of Garlic
6 Shallots
350g of Risotto Rice
1l of Vegetable Stock
175g of Parmesan
Bunch of Parsley
Bunch of Rosemary
4 Tsp of Balsamic Glaze
Salt
Pepper
Olive Oil"
28,BUTTERNUT SQUASH SOUP WITH GARLIC BREAD,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/butternut-soup,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc18b5032b00a7d3a7f43f2/1573232235944/new+VL.png,"2 Butternut Squash
2 Carrots
1 Onion
3 Tsp of Very Lazy Chopped Ginger
600ml of Vegetable Stock
2 Tsp of Very Lazy Chopped Garlic
Bunch of Parsley
2 Small Loaves of Ciabatta
Salt
Pepper
Olive Oil"
29,TOMMI MIERS’ GRILLED MUSHROOM AND CHEESE TACOS,GUEST MOB,http://www.mobkitchen.co.uk/recipes/mushroom-cheese-tacos,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc2edd521ba1f5dbfd67812/1573125028552/9K8A6666.jpg,"1/2 a Bulb of Garlic
1 Ancho Chilli 
1 Chipotle Chilli
3 Tsp Thyme Leaves
Salt
Vegetable Oil"
30,MOB'S MEATLESS NACHOS,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-nachos,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dc055d716a0bc58eab20af2/1573045223625/9K8A8985.jpg,"400g of Meatless Farm Mince (1 Pack)
7 Tomatoes
4 Spring Onions
1 Red Chilli
400g of Black Beans
2 Tsp of Harissa Paste
1/2 Avocado
1 Clove of Garlic
2 Bags of Tortilla Crisps
70g of Soaked Cashew Nuts
50g of Jalepeños
1 Lime
Bunch of Coriander
1 Red Onion
Salt
Pepper
Olive Oil"
31,MOB'S BACON RÖSTI'S,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/bacon-rosti,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbfee14bcfc042fbcd78054/1573035605376/9K8A3701.jpg,"1 Pack of Co-op’s Dry Cured Unsmoked Back Bacon Rashers
4 Spring Onions
3 Large Maris Piper Potatoes
4 Tbsp of Greek Yoghurt
4 Tsp of Harissa Paste
Bunch of Parsley
Pepper
Olive Oil"
32,BUTTERNUT SQUASH WITH CHILLI CON CARNE,MEAL PREP MOB,http://www.mobkitchen.co.uk/recipes/butternut-squash-with-chilli-con-carne,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbb17a8c3d0ff42c37e8441/1572778822812/9K8A6281.jpg,"800g of Extra Lean Beef Mince
2 Butternut Squash
4 Red Peppers
6 Garlic Cloves
2 Onions
6 Red Chillies
2 Tbsp of Cumin
1 Tbsp of Cinnamon
1 Tbsp of Paprika
1000g of Tinned Tomatoes
800g of Red Kidney Beans
1 Tbsp of Honey
1 Lime
Bunch of Coriander
350g Block of Cheddar
Salt
Pepper
Olive Oil"
33,SALT AND PEPPER TOFU,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/salt-pepper-tofu,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5dbad9a0993e6469934e9369/1572613236398/9K8A7490.jpg,"5 Spring Onions
2 Cloves of Garlic
9 Bird’s Eye Chillies
2 Packs of The Tofoo Co. Extra Firm Smoked Tofu
6 Tbsp of Cornflour
½ Tsp of Sugar
Salt
Pepper
Vegetable Oil"
34,PRAWN AND CHORIZO ORZO,PASTA MOB,http://www.mobkitchen.co.uk/recipes/prawn-chorizo-orzo,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5db9675957fbbb0401ea1973/1572441749096/9K8A8251.jpg,"1 Chorizo Ring
1 Tsp of Very Lazy Chopped Garlic
2 Tsp of Very Lazy Chopped Red Chillies
2 Punnets of Cherry Tomatoes
400g of Orzo
570ml of Chicken Stock
1 Pack of Raw King Prawns
Bunch of Basil
Salt
Pepper
Olive Oil"
